ms,bs,cs,fs,max_logLs,min_logLs,mean_logLs,median_logLs,std_logLs,transit_multiplicities_all
-2.0,0.0,100000000.0,0.0,-175743.1075033013,-175743.1075033013,-175743.1075033013,-175743.1075033013,0.0,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,100000000.0,0.1,-83865.11763891752,-87558.17744477978,-85350.73320985145,-85037.09944717625,1248.7555954546217,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,100000000.0,0.2,-70187.8681873163,-73861.12799317854,-71665.93931380576,-71354.449995575,1242.1231379208048,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,100000000.0,0.30000000000000004,-62234.62893128814,-65888.08873715039,-63705.15561333317,-63395.810739546876,1235.4909696814468,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,100000000.0,0.4,-56624.918735715066,-60258.5785415773,-58087.90097331564,-57780.700543973784,1228.8590954205085,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,100000000.0,0.5,-52299.33149521623,-55913.19130107848,-53754.76928837238,-53449.71330347496,1222.2275199234434,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,100000000.0,0.6000000000000001,-48785.9794796869,-52380.03928554916,-50233.87282839861,-49930.96128794563,1215.5962480798732,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,100000000.0,0.7000000000000001,-45833.14340316396,-49407.4032090262,-47273.49230743121,-46972.72521142267,1208.9652848864878,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,100000000.0,0.8,-43290.56928411384,-46845.02908997607,-44723.37374393664,-44424.75109237256,1202.3346354499777,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,100000000.0,0.9,-41061.34022365875,-44596.00002952101,-42486.60023903712,-42190.12203191748,1195.7043049900599,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,100000000.0,1.0,-39079.282043614985,-42594.14184947726,-40496.99761454892,-40202.66385187371,1189.0742988426184,"[[1049, 94], [871, 74], [944, 106], [1000, 105], [1031, 97], [987, 102], [975, 90], [883, 81], [1029, 90]]"
-2.0,0.0,158489319.2461111,0.0,-175743.1075033013,-175743.1075033013,-175743.1075033013,-175743.1075033013,0.0,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,158489319.2461111,0.1,-84530.37918829932,-97918.57876875892,-87665.29374162959,-85101.01317708765,5074.616621667903,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,158489319.2461111,0.2,-70851.02973669808,-84184.92931715772,-73971.56651225057,-71418.66372548643,5054.118018853391,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,158489319.2461111,0.30000000000000004,-62895.69048066994,-76175.29006112955,-66001.84947844465,-63460.324469458275,5033.619804120529,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,158489319.2461111,0.4,-57283.88028509686,-70509.17986555648,-60375.6615050938,-57845.514273885194,5013.121982229844,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,158489319.2461111,0.5,-52956.19304459801,-66127.19262505764,-56033.59648681719,-53514.82703338637,4992.624558019893,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,158489319.2461111,0.6000000000000001,-49440.7410290687,-62557.44060952833,-52503.766693510086,-49996.37501785705,4972.127536408968,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,158489319.2461111,0.7000000000000001,-46485.80495254574,-59548.204533005366,-49534.452839209356,-47038.43894133409,4951.630922396678,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,158489319.2461111,0.8,-43941.13083349562,-56949.230413955236,-46975.40094238145,-44490.764822283956,4931.134721065659,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,158489319.2461111,0.9,-41709.801773040555,-54663.60135350019,-44729.69410414861,-42256.43576182892,4910.638937583312,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,158489319.2461111,1.0,-39725.64359299678,-52625.143173456396,-42731.15814632706,-40269.27758178512,4890.143577203536,"[[967, 109], [1010, 79], [559, 53], [981, 80], [991, 77], [983, 109], [514, 65], [1012, 110], [998, 107]]"
-2.0,0.0,251188643.1509582,0.0,[],[],[],[],[],[]
-2.0,0.0,251188643.1509582,0.1,[],[],[],[],[],[]
-2.0,0.0,251188643.1509582,0.2,[],[],[],[],[],[]
-2.0,0.0,251188643.1509582,0.30000000000000004,[],[],[],[],[],[]
-2.0,0.0,251188643.1509582,0.4,[],[],[],[],[],[]
-2.0,0.0,251188643.1509582,0.5,[],[],[],[],[],[]
-2.0,0.0,251188643.1509582,0.6000000000000001,[],[],[],[],[],[]
-2.0,0.0,251188643.1509582,0.7000000000000001,[],[],[],[],[],[]
-2.0,0.0,251188643.1509582,0.8,[],[],[],[],[],[]
-2.0,0.0,251188643.1509582,0.9,[],[],[],[],[],[]
-2.0,0.0,251188643.1509582,1.0,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,0.0,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,0.1,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,0.2,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,0.30000000000000004,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,0.4,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,0.5,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,0.6000000000000001,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,0.7000000000000001,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,0.8,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,0.9,[],[],[],[],[],[]
-2.0,0.0,398107170.5534969,1.0,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,0.0,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,0.1,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,0.2,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,0.30000000000000004,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,0.4,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,0.5,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,0.6000000000000001,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,0.7000000000000001,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,0.8,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,0.9,[],[],[],[],[],[]
-2.0,0.0,630957344.4801943,1.0,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,0.0,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,0.1,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,0.2,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,0.30000000000000004,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,0.4,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,0.5,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,0.6000000000000001,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,0.7000000000000001,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,0.8,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,0.9,[],[],[],[],[],[]
-2.0,0.0,1000000000.0,1.0,[],[],[],[],[],[]
-2.0,0.0,1584893192.4611108,0.0,[],[],[],[],[],[]
